RANK         	GENE         	PHEVOR_SCORE 	PHEVOR_PRIOR 	PHEVOR_RAWSCR	GO      	EXT_FNL_PRIOR	CMBND_PRIOR  	FWRD_P       	ORIG_P       	P_disease    	P_healthy    
1           	CTSZ         	3.27244161817	0.79367343514	2.625        	1.000   	NA           	0.79367343514	0.99795      	0.00205      	0.99946626396	0.00053373603
2           	PRDM6        	2.69922143019	0.00497804064	0            	0.000   	NA           	0.00497804064	0.99999      	1e-05        	0.99800514492	0.00199485507
3           	TAOK2        	2.69922143019	0.00497804064	0            	0.000   	NA           	0.00497804064	0.99999      	1e-05        	0.99800514492	0.00199485507
4           	ZRSR2        	2.69922143019	0.00497804064	0            	0.000   	NA           	0.00497804064	0.99999      	1e-05        	0.99800514492	0.00199485507
5           	CAPN3        	2.69621167214	0.85360678925	2.75         	1.000   	NA           	0.85360678925	0.9884       	0.0116       	0.99799129998	0.00200870001
6           	IFI16        	2.29699134805	0.03073432343	0.125        	1.000   	NA           	0.03073432343	0.99984      	0.00016      	0.99497862791	0.00502137208
7           	HNRNPUL2     	2.18547989381	0.01061629768	0.09375      	1.000   	NA           	0.01061629768	0.99993      	7e-05        	0.99351819544	0.00648180455
8           	HTATIP2      	2.09714840970	0.00497804064	0            	0.000   	NA           	0.00497804064	0.99996      	4e-05        	0.99206781289	0.00793218710
9           	ATXN3        	1.91235170768	0.64010835045	1.1875       	1.000   	NA           	0.64010835045	0.9787       	0.0213       	0.98791166723	0.01208833276
10          	PSEN2        	1.22248047101	0.56828269033	1.125        	1.000   	NA           	0.56828269033	0.9269       	0.0731       	0.94347385125	0.05652614874
11          	MIPEP        	0.71485981623	0.60501050105	2.125        	1.000   	NA           	0.60501050105	0.772        	0.228        	0.83835316926	0.16164683073
12          	GTF3C4       	0.46042768992	0.00497804064	0            	0.000   	NA           	0.00497804064	0.99827      	0.00173      	0.74272378314	0.25727621685
13          	PRG4         	0.29672942898	0.00497804064	0            	0.000   	NA           	0.00497804064	0.99748      	0.00252      	0.66446250899	0.33553749100
14          	CAPN8        	0.17777737777	0.09561016342	2            	1.000   	NA           	0.09561016342	0.9344       	0.0656       	0.60093142085	0.39906857914
15          	RC3H1        	0.09870768577	0.00497804064	0            	0.000   	NA           	0.00497804064	0.99603      	0.00397      	0.55657736715	0.44342263284
16          	AAAS         	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
17          	ABCB7        	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
18          	ABHD2        	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
19          	ACAT1        	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
20          	ACP1         	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
21          	ACTL8        	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
22          	ADAM21       	0            	0.09561016342	2            	1.000   	NA           	0.09561016342	0            	1            	0            	1            
23          	ADCYAP1      	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
24          	ADORA2B      	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
25          	AFG3L2       	0            	0.82723611344	3            	1.000   	NA           	0.82723611344	0            	1            	0            	1            
26          	AGPAT2       	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
27          	AICDA        	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
28          	AKAP5        	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
29          	ALDH6A1      	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
30          	ALPL         	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
31          	AMOT         	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
32          	ANGPTL2      	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
33          	ANKRD28      	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
34          	ANO10        	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
35          	AP1G1        	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
36          	APH1A        	0            	0.56828269033	1.125        	1.000   	NA           	0.56828269033	0            	1            	0            	1            
37          	APOC2        	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
38          	AQP9         	0            	0.00497804064	0            	0.000   	NA           	0.00497804064	0            	1            	0            	1            
